"ID","WEEK OF","EVENT","LOCATION","MIN SHIP NOTICE NAME","CATEGORY","INSP TYPE","START DATE","END DATE","%23 OF IIs PLANNED","%23 OF DAYS","UPDATED","STATUS","SI","RECORDER","NNSY SUPPORT","TI LEAD ACTIVITY","SHIP DATA LIST","CASE FILES"
"151","5/19/2025","DEL - DDG FLT IIA, MI (Tu-Th)","SAN DIEGO, CA","DEL - STOCKDALE DDG 106, MI (Tu-Th)","[""SURF""]","MI (MSSI)","5/19/2025","5/21/2025","50","3","-5/1/25: Deleted from INSURV Schedule.

-4/14/25: Days changed to Tu-Th.

-UPDATE 3/12/25: Rescheduled to week of 19 MAY 25.

-UPDATE 12/19/24: Days changed to Tu-F.

<p>​ADDED 4/3/2025<br></p>","[""DEL""]","Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SWRMC""]","DDG 106","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG106_STOCKDALE?csf=1&web=1&e=Zk1hjz"
"152","5/19/2025","SSN (MI) (Tu-F)","Groton, CT","Texas SSN 775 (MI) (Tu-F)","[""SUB""]","MI","5/19/2025","5/22/2025","13","4","3/20/25: Removed from TBD status, location changed to Groton, CT.

Added 3/12/25.","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""NSSF GROTON""]","SSN 775","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20775%20(MI)?csf=1&web=1&e=oJRiuI"
"153","5/26/2025","T-AKE SMART (27-31MAY)","Norfolk, VA","Robert E. Peary T-AKE 5 (27-31MAY)","[""MSC""]","SMART","5/26/2025","5/30/2025","1","5","03/05/25: Location changed to Norfolk, VA.

Added 2/18/25.",,"Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA);Isaacson, Cary J CAPT USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 5",
"154","5/26/2025","LSD, MI (W-Sa)","SAN DIEGO, CA","GERMANTOWN LSD 42, MI (W-Sa)","[""SURF""]","MI","5/27/2025","5/30/2025","53","4","-UPDATE 11/13/24: Rescheduled to week of 26 MAY 25, days changed to W-Sa.

-UPDATE 8/14/24: Changed days of the inspection to Tu-F.

<p>​Added 12/14/23.<br></p>","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LSD 42","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LSD%20CASE/LSD42_GERMANTOWN?csf=1&web=1&e=9gVndb"
"155","5/26/2025","ACU 5 - LCAC 64, LCAC 75 (MI) (W-F)","San Diego, CA","ACU 5 - LCAC 64, LCAC 75 (MI) (W-F)","[""B&C""]","B&C MI","5/28/2025","5/30/2025","10","3","Added 12/19/24. ",,"Seriki, Oluyemisi H CDR USN PRESINSURV VA BCH VA (USA)",,,,,
"156","6/2/2025","KINGSVILLE, LCS 36, FCT (Su/M-F)","SAN DIEGO, CA","KINGSVILLE, LCS 36, FCT (Su/M-F)","[""TRIAL""]","FCT","5/31/2025","6/5/2025","27","6","-5/1/25: Rescheduled to week of 02 JUN 25.

<p>​-UPDATE 4/17/24&#58; RESCHEDULED TO WEEK OF 12 MAY 25.<br></p>","[""RESCH""]","Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 36","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS36_KINGSVILLE?csf=1&web=1&e=NaKDEb"
"157","6/2/2025","SSN (MI) (M-Th)","Norfolk, VA","OREGON SSN 793 (MI) (M-Th)","[""SUB""]","MI","6/1/2025","6/4/2025","13","4","-4/16/25: Removed from TBD status, location changed to Norfolk, VA.

-4/1/25: Placed in TBD status.

ADDED 7/24/24.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)","Luhn, John A LCDR USN PRESINSURV VA BCH VA (USA)",,"[""NSSF GROTON""]","SSN 793","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/SSN%20793%20CT?csf=1&web=1&e=2eVKhI"
"158","6/2/2025","YC 1593, YC 1626, YC 1678, YC 1684, YC 1685 (MI) (Tu-Th)","PHILADELPHIA, PA","YC 1593, YC 1626, YC 1678, YC 1684, YC 1685 (MI) (Tu-Th)","[""B&C""]","B&C MI","6/2/2025","6/4/2025","5","3","ADDED 7/18/24.",,"Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)","Encarnacion, Romeo J CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"159","6/9/2025","Pierre LCS 38 (AT) (Su/M-F)","Mobile, AL","Pierre LCS 38 (AT) (Su/M-F)","[""TRIAL""]","AT","6/7/2025","6/12/2025","25","6","-5/7/25: Rescheduled to week of 09 JUN 25.

-5/1/25: Rescheduled to week of 12 MAY 25.

-2/18/25: Rescheduled to week of 28 APR 25.

-UPDATE 11/26/24: Rescheduled to week of 14 APR 25.

-UPDATE 10/16/2024: Rescheduled to week of 27 JAN 25.

Added 9/11/24.","[""RESCH""]","Dowd, Justin Augustus CAPT USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 38","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS38_PIERRE?csf=1&web=1&e=5rdHHs"
"160","6/9/2025","DEL - T-AKE, SMART (09-13JUN)","Chinhae, Korea","DEL - Alan Shepard T-AKE 3 (09-13JUN)","[""MSC""]","SMART","6/8/2025","6/12/2025","1","5","-5/28/25: Deleted from INSURV Schedule.

-5/21/25: Placed in TBD status.

5/1/25: Location changed to Chinhae, Korea.

Added 7/31/24.","[""DEL""]","Lensegrav, Craig T CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-AKE 3","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SMART%20CASE/T-AK_E_R/T-AKE3_ALAN_SHEPARD?csf=1&web=1&e=hvRA6N"
"161","6/9/2025","MSRON 11 x3 (MI) (Tu-Th)","KETCHIKAN, AK","MSRON 11 x3 (MI) (Tu-Th)","[""B&C""]","B&C MI","6/9/2025","6/11/2025","6","3","ADDED 7/12/24.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)","Vargas, Joaquin CIV USN PRESINSURV VA BCH VA (USA)",,,,
"162","6/9/2025","YRBM 59 (AT) (Tu-W)","Morgan City, LA","YRBM 59 (AT) (Tu-W)","[""B&C""]","AT","6/9/2025","6/10/2025","10","2","-5/21/25: Removed from TBD status.

-5/7/25: Placed in TBD status.

Added 3/12/25.",,"Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,,"[""NSWCPD""]",,
"163","6/9/2025","SSN (MI) (Tu-F)","Guam","Annapolis SSN 760 (MI) (Tu-F)","[""SUB""]","MI","6/9/2025","6/12/2025","13","4","Added 3/27/25.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""HRMC""]","SSN 760","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/FY25%20Case%20Files/FY25%20-%20SSN%20760%20(MI)?csf=1&web=1&e=iSFOcX"
"164","6/16/2025","MSRON 10 X 5, MI (M-Tu)","Jacksonville, FL","MSRON 10 X 5, MI (M-Tu)","[""B&C""]","B&C MI","6/15/2025","6/16/2025","6","2","-1/22/25: Location changed to Jacksonville, FL.

-UPDATE 12/19/24: Rescheduled to week of 16 JUN 25, days changed to M-Tu.

<p>​-UPDATE 1/2/24&#58; RESCHEDULED TO WEEK OF 28 APR 25.<br></p><p>Added 6/15/23.<br></p>
","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"165","6/23/2025","Cooperstown LCS 23 (RT) (M)","Mayport, FL","Cooperstown LCS 23 (RT) (M)","[""TRIAL""]","RT","6/22/2025","6/22/2025","4","1","-6/11/25: Days changed to Monday only.

-5/21/25: Days changed to M-Tu.

-5/14/25: Days changed to Monday only.

Added 4/16/25.",,"Gilbert, Damon Charles CIV USN PRESINSURV VA BCH VA (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","LCS 23","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS23_COOPERSTOWN?csf=1&web=1&e=1jLJqL"
"166","6/23/2025","DDG FLT IIA, MI (Tu-F)","SAN DIEGO, CA","MUSTIN DDG 89, MI (Tu-F)","[""SURF""]","MI (MSSI)","6/23/2025","6/26/2025","50","4","-3/27/25: Rescheduled to week of 23 JUN 25, removed from TBD status.

-UPDATE 3/12/25: Placed in TBD status.

-UPDATE 12/19/24: Days changed to W-F.

-UPDATE 11/19/24: Rescheduled to week of 19 MAY 25. 

<p>​Added 3/31/23.<br></p>","[""RESCH""]","Concannon, Michael CAPT USN PRESINSURV VA BCH VA (USA);Wells, Christopher K CAPT USN PRESINSURV VA BCH VA (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""SWRMC""]","DDG 89","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG89_MUSTIN?csf=1&web=1&e=RVqRTo"
"167","6/23/2025","114SC0903 RSC-3 (MI) (Tu)","POINT LOMA, CA","114SC0903 RSC-3 (MI) (Tu)","[""B&C""]","B&C MI","6/23/2025","6/23/2025","10","1","6/4/25: Days changed to Tu only.

-1/22/25: Days changed to Th-F.

ADDED 7/18/24.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,"Y",,,
"168","6/23/2025","APL 65, APL 69 (MI) (W-Th)","SAN DIEGO, CA","APL 65, APL 69 (MI) (W-Th)","[""B&C""]","B&C MI","6/24/2025","6/25/2025","10","2","-6/4/25: Days changed to W-Th.

-1/22/25: Days changed to Tu-W.

ADDED 7/12/2024.",,"Austin, Howard J Jr CWO5 USN PRESINSURV VA BCH VA (USA)","Manangan, Edgar F CIV USN PRESINSURV VA BCH VA (USA)","Y",,,
"169","6/23/2025","T-ESD, SMART (25-29JUN)","Norfolk, VA","Montford Point T-ESD 1 (25-29JUN)","[""MSC""]","SMART","6/24/2025","6/28/2025","1","5","Added 5/1/25.",,"Lensegrav, Craig T CDR USN PRESINSURV VA BCH VA (USA);Byrd, Nathaniel J CDR USN PRESINSURV VA BCH VA (USA)",,,,"T-ESD 1",
"170","6/30/2025","TBD - John F. Kennedy CVN 79 (AT) (Su/M-F)","Norfolk, VA","TBD - John F. Kennedy CVN 79 (AT) (Su/M-F)","[""TRIAL""]","AT","6/28/2025","7/3/2025","69","6","-3/12/25: Placed in TBD status.

-UPDATE 10/23/24: Rescheduled to week of 30 JUN 25.

-UPDATE 9/11/24: Rescheduled to week of 26 JAN 26.

<p>​ADDED 4/3/24.<br></p>","[""TBD""]",,"Meckley, Sean S CIV USN PRESINSURV VA BCH VA (USA)",,"[""NSWCPD""]","CVN 79","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN79_JOHN_F_KENNEDY?csf=1&web=1&e=CONY6r"
"171","6/30/2025","LSD, MI (M-W)","SAN DIEGO, CA","HARPERS FERRY LSD 49, MI (M-W)","[""SURF""]","MI (MSSI)","6/29/2025","7/1/2025","59","3","-3/5/25: Rescheduled to 30 JUN 25, days changed to M-W.

-1/22/25: resked to occur 29 JUN - 02 JUL 25, removed from TBD status.

-1/10/25: Placed in TBD status.

-UPDATE 11/13/24: Rescheduled to week of 26 MAY 25, changed days to W-Sa.

-UPDATE 8/14/24: Changed days of the inspection to Tu-F.

<p>​Added 12/14/23.<br></p>","[""RESCH""]","Talaga, Michael T CIV USN PRESINSURV VA BCH VA (USA)","Shalifoe, Koko M CTR USN PRESINSURV VA BCH VA (USA)","Y","[""SWRMC""]","LSD 49","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LSD%20CASE/LSD49_HARPERS_FERRY?csf=1&web=1&e=M6aiqa"
